data,preco_tecnico,preco_hibrido_base,preco_hibrido_bear,preco_hibrido_bull,ancora_dcf_base,ancora_dcf_bear,ancora_dcf_bull,intervalo_lo,intervalo_hi,previsao_media,previsao_std
2026-03-25,73.69787292480468,73.69787292480468,73.63555300844072,73.77172874503256,73.79609744466998,73.73369446832587,73.87005169992987,73.58655945750264,73.80918639210672,73.69787292480468,0.056792585358183906
2026-03-26,73.6495147705078,73.65028120123225,73.52577452144398,73.79797142055634,73.84222370255223,73.71739254167359,73.99029882237711,73.43256905324108,73.86799334922341,73.65028120123225,0.11107762652610613
2026-03-27,73.60525817871094,73.60750838994932,73.42093573860085,73.82902602017091,73.88837879165645,73.70109421924616,74.11074168545436,73.28958301698415,73.92543376291448,73.60750838994932,0.16220682294140867
2026-03-30,73.564892578125,73.56929642164873,73.32076712213401,73.86464790041524,73.9345627300036,73.68479950024668,74.23138060779202,73.15979958644344,73.97879325685402,73.56929642164873,0.2089269567373943
2026-03-31,73.52686920166016,73.53407396217499,73.2236923033413,73.90327154974545,73.98077553562591,73.6685083838785,74.35221590853922,73.04290723246751,74.02524069188246,73.53407396217499,0.2505952702589156
2026-04-01,73.49100189208984,73.50163006210508,73.1294937228436,73.94469373873513,74.02701722656687,73.65222086934507,74.47324790736462,72.93812966810803,74.06513045610212,73.50163006210508,0.2875002010188978
2026-04-02,73.45676727294922,73.47142760548832,73.03763030333486,73.98838194380184,74.07328782088125,73.63593695585008,74.59447692445721,72.8427617598151,74.10009345116153,73.47142760548832,0.3207478804455136
2026-04-03,73.42466888427734,73.44393644686245,72.94856296408815,74.0348165618117,74.11958733663509,73.61965664259735,74.71590328052719,72.75704240043406,74.13083049329084,73.44393644686245,0.35045614613693143
2026-04-06,73.39605560302735,73.42043739514536,72.863555858939,74.08529819977429,74.16591579190576,73.60337992879091,74.83752729680683,72.68241950079813,74.15845528949258,73.42043739514536,0.3765397420138898
2026-04-07,73.3708480834961,73.40081281048086,72.78248218576923,74.13972013522665,74.21227320478191,73.58710681363493,74.9593492950513,72.61948580759893,74.18213981336278,73.40081281048086,0.3986362259601615
2026-04-08,73.3460922241211,73.38218447922813,72.70248055020556,74.19518403550816,74.25865959336348,73.5708372963338,75.08136959753953,72.56216787717734,74.20220108127891,73.38218447922813,0.41837581737284996
